Run	Sample_Name	body_site	submitted_subject_id
SRR8232333	GTEX-ZPU1-2326-SM-57WEP	Minor Salivary Gland	GTEX-ZPU1
SRR1404362	GTEX-ZF2S-1926-SM-4WWAN	Colon - Transverse	GTEX-ZF2S
SRR8232151	GTEX-ZF2S-1926-SM-4WWAN	Colon - Transverse	GTEX-ZF2S
SRR1404384	GTEX-144GO-0126-SM-5LUAO	Thyroid	GTEX-144GO
SRR8222051	GTEX-144GO-0126-SM-5LUAO	Thyroid	GTEX-144GO
SRR1404401	GTEX-ZC5H-0005-SM-4WAXM	Whole Blood	GTEX-ZC5H
SRR8231912	GTEX-ZC5H-0005-SM-4WAXM	Whole Blood	GTEX-ZC5H
SRR1404421	GTEX-1399T-1526-SM-5P9J6	Testis	GTEX-1399T
SRR8220371	GTEX-1399T-1526-SM-5P9J6	Testis	GTEX-1399T
SRR1404442	GTEX-ZC5H-2626-SM-5J2MG	Breast - Mammary Tissue	GTEX-ZC5H
SRR8231931	GTEX-ZC5H-2626-SM-5J2MG	Breast - Mammary Tissue	GTEX-ZC5H
SRR1404461	GTEX-11TT1-1026-SM-5PNW7	Colon - Transverse	GTEX-11TT1
SRR8219085	GTEX-11TT1-1026-SM-5PNW7	Colon - Transverse	GTEX-11TT1
SRR1404483	GTEX-Y5LM-2226-SM-4VDT1	Nerve - Tibial	GTEX-Y5LM
SRR8231373	GTEX-Y5LM-2226-SM-4VDT1	Nerve - Tibial	GTEX-Y5LM
SRR1404507	GTEX-WYVS-0926-SM-4SOJV	Pancreas	GTEX-WYVS
SRR8230550	GTEX-WYVS-0926-SM-4SOJV	Pancreas	GTEX-WYVS
SRR1404531	GTEX-12WS9-0126-SM-5EGL7	Skin - Sun Exposed (Lower leg)	GTEX-12WS9
SRR8219536	GTEX-12WS9-0126-SM-5EGL7	Skin - Sun Exposed (Lower leg)	GTEX-12WS9
SRR1404555	GTEX-WHSE-0726-SM-4RTXA	Artery - Coronary	GTEX-WHSE
SRR8230262	GTEX-WHSE-0726-SM-4RTXA	Artery - Coronary	GTEX-WHSE
SRR1404577	GTEX-146FR-0426-SM-5SI97	Esophagus - Mucosa	GTEX-146FR
SRR8222294	GTEX-146FR-0426-SM-5SI97	Esophagus - Mucosa	GTEX-146FR
SRR1404601	GTEX-13RTJ-0011-R1a-SM-5O9D9	Brain - Hippocampus	GTEX-13RTJ
SRR8221637	GTEX-13RTJ-0011-R1a-SM-5O9D9	Brain - Hippocampus	GTEX-13RTJ
